URL,Number of facades,Number of rooms,Terrace,Type of property,Swimming pool,Garden Area,Surface of the land,Locality,Living Area,Terrace Area,Fully equipped kitchen,State of the building,Furnished,Surface area of the plot of land,Garden,Open fire,Subtype of property,Price
https://www.immoweb.be/en/classified/house/for-sale/nieuwkerke/8950/20293964,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/boncelles/4100/20294037,3,2,,House,,,,4100 BONCELLES,,42,Installed,Good,,,,,House,205000
https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/20293821,2,2,Yes,House,,,,9300 AALST,,,,Good,,,,,House,219000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/chatillon/6747/20307753,,,,Projet Rue Neuve,,,,6747 CH�TILLON,,,,,,,,,Projet Rue Neuve,From399900To419900
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/harelbeke/8530/20308790,,,,BISTIERLAND,,,,,,,,,,,,,BISTIERLAND,From411000To411300
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/berchem/2600/20189295,2,2,,Mixed-use building,,,,2600 BERCHEM,,12,Semi equipped,To be done up,,,,,Mixed-use building,175000
https://www.immoweb.be/en/classified/house/for-sale/thimeon/6230/20014084,4,4,Yes,House,,83,,6230 Thim�on,,,Semi equipped,To restore,,,,,House,
https://www.immoweb.be/en/classified/house/for-sale/rixensart/1330/11215511,3,2,,House,,474,,1330 RIXENSART,,,USA uninstalled,Good,,,,,House,220000
https://www.immoweb.be/en/classified/house/for-sale/grace-hollogne/4460/11405259,3,3,,House,,100,,4460 GR�CE-HOLLOGNE,,44,Installed,Good,,,,,House,260000
https://www.immoweb.be/en/classified/house/for-sale/soignies/7060/10924605,4,2,Yes,House,,,,7060 SOIGNIES,,,Not installed,To be done up,,,,,House,280000
https://www.immoweb.be/en/classified/house/for-sale/bernissart/7321/20209443,4,4,,House,,365,,7321 BERNISSART,,135,Semi equipped,Good,,,,,House,285000
https://www.immoweb.be/en/classified/house/for-sale/fleurus/6220/20241273,4,2,,House,,1030,,6220 FLEURUS,,14,Semi equipped,To be done up,,,,,House,315000
https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2100/20220815,,2,,House,,33,,2100 ANTWERPEN,,17,Installed,Good,,,,,House,318000
https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20076180,3,3,,House,,96,,9700 Oudenaarde,,18,,As new,No,,,,House,420000
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1120/20242318,2,5,,House,,120,,1120 Bruxelles,,30,,As new,No,,,,House,477000
https://www.immoweb.be/en/classified/house/for-sale/limelette/1342/11263874,3,4,,House,,1680,,1342 LIMELETTE,,15,Installed,Good,,,,,House,480000
https://www.immoweb.be/en/classified/country-cottage/for-sale/malmedy/4960/20062418,4,6,,Country house,,1800,,4960 Malmedy,,80,Installed,Good,No,,,,Country house,528000
https://www.immoweb.be/en/classified/house/for-sale/sint-amandsberg/9040/20214730,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/11458840,4,4,Yes,House,,,,9700 Oudenaarde,,,,Good,No,,,,House,625000
https://www.immoweb.be/en/classified/apartment-block/for-sale/uccle/1180/11479805,2,4,,Apartment block,,121,,1180 UCCLE,,9,,To renovate,,,,,Apartment block,649000
https://www.immoweb.be/en/classified/villa/for-sale/sint-kruis/8310/20106373,3,4,,Villa,,371,,8310 Sint-Kruis,,371,Installed,Good,No,,,,Villa,850000
https://www.immoweb.be/en/classified/house/for-sale/hoeilaart/1560/20033618,4,5,,House,,12800,,1560 HOEILAART,,60,Hyper equipped,Good,No,,,,House,1995000
https://www.immoweb.be/en/classified/villa/for-sale/knokke-zoute/8300/11369256,4,7,,Villa,,821,,8300 Knokke-Zoute,,821,Hyper equipped,Just renovated,No,,,,Villa,5695000
https://www.immoweb.be/en/classified/house/for-sale/herstal-vottem/4041/20265739,3,4,,House,,80,,4041 Herstal Vottem,,16,Not installed,Good,Yes,,,,House,189000
https://www.immoweb.be/en/classified/country-cottage/for-sale/beauraing-honnay/5570/20279885,4,3,,Country house,,,,5570 Beauraing Honnay,,,Semi equipped,To renovate,Yes,,,,Country house,195000
