URL,Type of property,Terrace,Open fire,Price,Garden Area,Surface of the land,Terrace Area,Number of rooms,Subtype of property,Fully equipped kitchen,State of the building,Locality,Living Area,Number of facades,Surface area of the plot of land,Swimming pool,Garden,Furnished
https://www.immoweb.be/en/classified/house/for-sale/erpe-mere/9420/20315081,House,Yes,,259000,,,,2,House,Hyper equipped,To be done up,9420 Erpe-Mere,,4,,,,
https://www.immoweb.be/en/classified/country-cottage/for-sale/blicquy/7903/20317243,Country house,Yes,,275000,,,,2,Country house,Installed,Good,7903 BLICQUY,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20314061,House,Yes,,284500,,,,4,House,,,9700 Oudenaarde,,2,,,,No
https://www.immoweb.be/en/classified/house/for-sale/waarschoot/9950/20315268,House,,,360000,,,,3,House,Installed,Just renovated,9950 Waarschoot,,,,,,No
https://www.immoweb.be/en/classified/town-house/for-sale/jette/1090/20310071,Town-house,,,399000,,,10,3,Town-house,Installed,Good,1090 Jette,,2,,,,No
https://www.immoweb.be/en/classified/house/for-sale/duffel/2570/20304337,House,,,438000,400,,40,3,House,Installed,Good,2570 Duffel,,3,,,,
https://www.immoweb.be/en/classified/house/for-sale/liege/4000/20311625,House,,,275000,100,,5,4,House,Not installed,To renovate,4000 Liège,,2,,,,No
https://www.immoweb.be/en/classified/house/for-sale/anzegem/8570/20312906,House,,,325000,125,,15,3,House,USA semi equipped,Good,8570 ANZEGEM,,3,,,,
https://www.immoweb.be/en/classified/house/for-sale/hoeilaart/1560/20313977,House,,,469000,,,17,3,House,Not installed,To renovate,1560 Hoeilaart,,4,,,,No
https://www.immoweb.be/en/classified/house/for-sale/zaventem/1932/20314512,House,,,570000,116,,20,3,House,Hyper equipped,Good,1932 Zaventem,,2,,,,No
https://www.immoweb.be/en/classified/villa/for-sale/zwijnaarde/9052/20314287,Villa,Yes,,635000,,,,4,Villa,Hyper equipped,Good,9052 Zwijnaarde,,,,,,No
https://www.immoweb.be/en/classified/house/for-sale/bornem/2880/20309260,House,,,340000,,,70,2,House,Installed,Good,2880 BORNEM,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20309127,House,Yes,,509000,64,,,4,House,Installed,Just renovated,2800 MECHELEN,,2,,,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/laeken/1020/20309360,Mixed-use building,,,550000,,,5,5,Mixed-use building,Not installed,To renovate,1020 Laeken,,2,,,,No
https://www.immoweb.be/en/classified/house/for-sale/zottegem/9620/20316638,House,,,460912,60,,12,3,House,Hyper equipped,Good,9620 Zottegem,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/wevelgem/8560/20300031,,,,From310290To330387,,,,,,,,8560 Wevelgem,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/wevelgem/8560/20300023,,,,From311692To349846,,,,,,,,8560 Wevelgem,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/tielt-8700/8700/20300028,,,,From314119To318524,,,,,,,,8700 Tielt (8700),,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/wevelgem/8560/20300032,,,,330387,,,,,,,,8560 Wevelgem,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/wevelgem/8560/20300029,,,,336052,,,,,,,,8560 Wevelgem,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/wevelgem/8560/20300027,,,,From346788To352060,,,,,,,,8560 Wevelgem,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/jabbeke/8490/20300025,,,,From369224To405801,,,,,,,,8490 Jabbeke,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gavere/9890/20294387,Nova,,,From376463To401089,,,,,Nova,,,9890 Gavere,,,,,,
