URL,Number of rooms,Surface area of the plot of land,State of the building,Type of property,Garden Area,Fully equipped kitchen,Price,Garden,Surface of the land,Locality,Subtype of property,Living Area,Furnished,Number of facades,Terrace,Open fire,Terrace Area,Swimming pool
https://www.immoweb.be/en/classified/apartment/for-sale/schoten/2900/20289876,2,,Good,Apartment,,Installed,300000,,,2900 SCHOTEN,Apartment,,,,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/houthulst/8650/20287622,6,,Good,Apartment,,Installed,519150,,,8650 Houthulst,Apartment,,No,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/liedekerke/1770/20306052,2,,,Apartment,,Hyper equipped,286000,,,1770 LIEDEKERKE,Apartment,,,4,,,10,
https://www.immoweb.be/en/classified/apartment/for-sale/liedekerke/1770/20306053,2,,,Apartment,,Hyper equipped,314000,,,1770 LIEDEKERKE,Apartment,,,4,,,10,
https://www.immoweb.be/en/classified/apartment/for-sale/liedekerke/1770/20306102,2,,,Apartment,,Hyper equipped,317000,,,1770 LIEDEKERKE,Apartment,,,4,,,10,
https://www.immoweb.be/en/classified/apartment/for-sale/liedekerke/1770/20306083,2,,,Apartment,,Hyper equipped,329000,,,1770 LIEDEKERKE,Apartment,,,4,,,10,
https://www.immoweb.be/en/classified/apartment/for-sale/liedekerke/1770/20306078,2,,,Apartment,,Hyper equipped,344000,,,1770 LIEDEKERKE,Apartment,,,4,,,13,
https://www.immoweb.be/en/classified/apartment/for-sale/liedekerke/1770/20306062,2,,,Apartment,,Hyper equipped,344000,,,1770 LIEDEKERKE,Apartment,,,4,,,13,
https://www.immoweb.be/en/classified/apartment/for-sale/liedekerke/1770/20306063,2,,,Apartment,,Hyper equipped,353000,,,1770 LIEDEKERKE,Apartment,,,4,,,9,
https://www.immoweb.be/en/classified/apartment/for-sale/aalst-9300/9300/20303195,2,,,Apartment,,,199000,,,9300 Aalst (9300),Apartment,,,,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/schriek/2223/20302770,1,,,Apartment,,Hyper equipped,220000,,,2223 Schriek,Apartment,,,,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/grimbergen-strombeek-bever/1853/20303487,2,,Good,Apartment,,Not installed,260000,,,1853 Grimbergen Strombeek-Bever,Apartment,,No,2,,,30,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20304460,1,,As new,Apartment,,Hyper equipped,275000,,,9000 Gent,Apartment,,No,,,,2,
https://www.immoweb.be/en/classified/apartment/for-sale/lier/2500/20303846,2,,,Apartment,,Installed,339000,,,2500 LIER,Apartment,,,2,,,7,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20303456,2,,Good,Apartment,,Hyper equipped,350000,,,2000 Antwerpen,Apartment,,No,2,,,4,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/lier/2500/20261016,,,,Olivia,,,From218586To394026,,,2500 LIER,Olivia,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/anderlecht/1070/20260528,,,,Terra Nova,,,From228000To449000,,,1070 ANDERLECHT,Terra Nova,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/roeselare/8800/20257518,,,,,,,From230000To245000,,,8800 Roeselare,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/diepenbeek/3590/20259984,,,,Residentie 't Streutje,,,From279725To464260,,,3590 DIEPENBEEK,Residentie 't Streutje,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/bachte-maria-leerne/9800/20257908,,,,Minnehof,,,From298000To379000,,,9800 Bachte-Maria-Leerne,Minnehof,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/chaumont-gistoux/1325/20259851,,,,La Biosphère,,,From465000To995000,,,,La Biosphère,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20243428,2,,As new,Apartment,,Hyper equipped,389000,,,1140 Evere,Apartment,,Yes,2,,,8,
https://www.immoweb.be/en/classified/duplex/for-sale/vorst/1190/20102470,4,,Good,Duplex,75,USA installed,537900,,,1190 Vorst,Duplex,,,,,,20,
https://www.immoweb.be/en/classified/duplex/for-sale/vilvoorde/1800/20280146,2,,Good,Duplex,,Installed,265000,,,1800 Vilvoorde,Duplex,,No,,,,,
https://www.immoweb.be/en/classified/ground-floor/for-sale/gavere/9890/20293622,1,,As new,Ground floor,,Hyper equipped,273700,,,9890 Gavere,Ground floor,,No,4,,,10,
https://www.immoweb.be/en/classified/ground-floor/for-sale/gavere/9890/20293616,1,,As new,Ground floor,,Hyper equipped,273700,,,9890 Gavere,Ground floor,,No,4,,,11,
https://www.immoweb.be/en/classified/ground-floor/for-sale/gavere/9890/20293613,2,,As new,Ground floor,,Hyper equipped,352510,,,9890 Gavere,Ground floor,,No,4,,,10,
https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/20293618,3,,As new,Apartment,,Hyper equipped,382150,,,9890 Gavere,Apartment,,No,4,,,11,
https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/20293614,3,,As new,Apartment,,Hyper equipped,382500,,,9890 Gavere,Apartment,,No,4,,,10,
https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/20293615,3,,As new,Apartment,,Hyper equipped,382500,,,9890 Gavere,Apartment,,No,4,,,10,
https://www.immoweb.be/en/classified/service-flat/for-sale/gent/9000/20278649,2,,Good,Service flat,25,,445000,,,9000 Gent,Service flat,,,,,,8,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20278568,2,,Good,Apartment,,,985000,,,8300 Knokke,Apartment,,Yes,,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20278335,2,,Just renovated,Apartment,,Hyper equipped,1250000,,,8300 Knokke-Heist,Apartment,,No,2,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20276782,3,,As new,Apartment,,,2975000,,,8300 Knokke,Apartment,,,,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20276762,4,,Good,Apartment,,,3850000,,,8300 Knokke,Apartment,,Yes,,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20276773,3,,As new,Apartment,,,4645000,,,8300 Knokke,Apartment,,,,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/koksijde/8670/20283828,1,,To be done up,Apartment,,Installed,199000,,,8670 Koksijde,Apartment,,,,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20285971,2,,Good,Apartment,,Installed,230000,,,1080 Molenbeek-Saint-Jean,Apartment,,,2,,,3,
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20287524,3,,Good,Apartment,,Semi equipped,249000,,,2100 DEURNE,Apartment,,,3,,,,
https://www.immoweb.be/en/classified/duplex/for-sale/bruxelles/1000/20275626,2,,Good,Duplex,,,349000,,,1000 Bruxelles,Duplex,,No,2,,,,
https://www.immoweb.be/en/classified/duplex/for-sale/kapelle-op-den-bos/1880/20286938,3,,Good,Duplex,,Semi equipped,690000,,,1880 KAPELLE-OP-DEN-BOS,Duplex,,,,,,47,
https://www.immoweb.be/en/classified/triplex/for-sale/uccle/1180/20287388,4,,As new,Triplex,150,Installed,950000,,,1180 Uccle,Triplex,,No,3,,,1square meter,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20302916,2,,As new,Apartment,,Hyper equipped,345000,,,9000 Gent,Apartment,,No,4,,,13,
https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9000/20302932,3,,As new,Ground floor,,Hyper equipped,355000,,,9000 Gent,Ground floor,,No,4,,,13,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20302921,3,,As new,Apartment,,Hyper equipped,450000,,,9000 Gent,Apartment,,No,4,,,27,
https://www.immoweb.be/en/classified/apartment/for-sale/moeskroen/7700/20300529,1,,,Apartment,,Semi equipped,179000,,,7700 MOESKROEN,Apartment,,,,,,10,
https://www.immoweb.be/en/classified/apartment/for-sale/arlon-stockem/6700/20257814,2,,Good,Apartment,413,Installed,209000,,,6700 Arlon (Stockem),Apartment,,,2,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/20272902,2,,Good,Apartment,,,185000,,,9890 Gavere,Apartment,,No,2,,,25,
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20272655,1,,Good,Apartment,,,225000,,,8400 Oostende,Apartment,,No,,,,11,
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/11427787,2,,Good,Apartment,,Installed,234000,,,8400 Oostende,Apartment,,No,,,,2,
https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/20272725,2,,Good,Apartment,,,299000,,,3500 Hasselt,Apartment,,,,,,22,
https://www.immoweb.be/en/classified/apartment/for-sale/keerbergen/3140/20315487,3,,Good,Apartment,,Installed,385000,,,3140 Keerbergen,Apartment,,,2,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20315527,4,,Good,Apartment,,Hyper equipped,1195000,,,,Apartment,,No,2,,,19,
