URL,Locality,Furnished,Open fire,Garden Area,Type of property,Terrace,Garden,Price,Subtype of property,Fully equipped kitchen,Surface of the land,Number of facades,State of the building,Surface area of the plot of land,Swimming pool,Living Area,Terrace Area,Number of rooms
https://www.immoweb.be/en/classified/apartment/for-sale/destelbergen/9070/11375576,9070 DESTELBERGEN,,,,Apartment,,,335000,Apartment,,,,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2020/2020/20245112,2020 ANTWERPEN 2020,,,,Apartment,,,339000,Apartment,Installed,,,Just renovated,,,,11,3
https://www.immoweb.be/en/classified/apartment/for-sale/zeebrugge/8380/20130172,8380 Zeebrugge,No,,,Apartment,Yes,,339000,Apartment,,,2,To renovate,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/auderghem/1160/20224627,1160 Auderghem,,,,Apartment,,,340000,Apartment,USA hyper equipped,,3,Just renovated,,,,7,1
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/11491824,8400 Oostende,,,,Apartment,Yes,,340000,Apartment,,,,To be done up,,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20170674,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/hoeselt/3730/20217982,3730 Hoeselt,,,,Apartment,,,345000,Apartment,,,,Good,,,,31,2
https://www.immoweb.be/en/classified/apartment/for-sale/de-panne/8660/20198415,8660 De Panne,,,,Apartment,Yes,,347500,Apartment,Installed,,,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/20065835,8434 Westende,No,,,Apartment,Yes,,349000,Apartment,,,,Good,,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/sint-idesbald/8670/20166084,8670 Sint-Idesbald,,,,Apartment,Yes,,349000,Apartment,,,,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/20025214,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/11388943,1030 Schaerbeek,No,,,Apartment,,,360000,Apartment,Hyper equipped,,2,As new,,,,18,3
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20183829,8400 Oostende,No,,,Apartment,,,369000,Apartment,,,,As new,,,,,2
https://www.immoweb.be/en/classified/penthouse/for-sale/ixelles/1050/20105292,1050 Ixelles,No,,,Penthouse,Yes,,375000,Penthouse,Installed,,2,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/de-panne/8660/20120041,8660 De Panne,,,,Apartment,,,385000,Apartment,Installed,,,As new,,,,37,1
