URL,Subtype of property,Number of facades,Number of rooms,Price,Living Area,State of the building,Furnished,Terrace,Open fire,Terrace Area,Surface area of the plot of land,Swimming pool,Garden Area,Surface of the land,Garden,Locality,Type of property,Fully equipped kitchen
https://www.immoweb.be/en/classified/mansion/for-sale/meulebeke/8760/20276248,Mansion,3,4,465000,,To be done up,,Yes,,,,,,,,8760 Meulebeke,Mansion,Semi equipped
https://www.immoweb.be/en/classified/house/for-sale/huise/9750/20291318,House,4,3,450000,,Good,No,,,33,,,140,,,9750 Huise,House,Installed
https://www.immoweb.be/en/classified/villa/for-sale/bredene/8450/20292050,Villa,,3,460000,,Good,No,Yes,,,,,,,,8450 Bredene,Villa,Installed
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/asse/1730/20197086,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/chaumont-gistoux/1325/20267220,Clos des Bruy�res,,,From484000To615000,,,,,,,,,,,,,Clos des Bruy�res,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/merelbeke/9820/20267379,,,,From549000To559000,,,,,,,,,,,,9820 Merelbeke,,
https://www.immoweb.be/en/classified/house/for-sale/flemalle/4400/20299740,House,3,4,289000,,As new,No,,,25,,,,,,4400 Fl�malle,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/gedinne-malvoisin/5575/20303526,House,4,4,220000,,As new,No,,,20,,,400,,,5575 Gedinne Malvoisin,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/saint-nicolas/4420/20305660,House,3,3,249000,,Good,No,,,35,,,20,,,4420 Saint-Nicolas,House,Hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20279961,House,2,4,250000,,Good,No,,,,,,4,,,9000 Gent,House,Hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/menen/8930/20305391,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/geraardsbergen/9500/20304145,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/20304125,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/bassenge/4690/20281847,House,3,3,369000,,Just renovated,,,,141,,,253,,,4690 BASSENGE,House,Semi equipped
https://www.immoweb.be/en/classified/apartment-block/for-sale/gent/9000/20305506,Apartment block,,6,675000,,To renovate,No,,,,,,,,,9000 Gent,Apartment block,Not installed
https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20305667,House,2,7,795000,,Good,No,Yes,,,,,,,,1180 Uccle,House,Semi equipped
https://www.immoweb.be/en/classified/villa/for-sale/sint-andries/8200/20303804,Villa,3,4,849000,,Good,No,,,,,,,,,8200 Sint-Andries,Villa,Hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/seraing/4101/20286862,House,2,4,215000,,Good,No,,,24,,,31,,,4101 Seraing,House,Semi equipped
https://www.immoweb.be/en/classified/house/for-sale/liege-grivegnee/4030/20313800,House,2,2,195000,,To be done up,No,,,15,,,,,,4030 Li�ge Grivegn�e,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/liege/4020/20313886,House,2,2,199000,,Good,No,,,12,,,70,,,4020 Li�ge,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/ranst/2520/20312152,House,4,4,525000,,To be done up,No,,,20,,,120,,,2520 Ranst,House,Hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/marchin/4570/20311547,House,4,5,559500,,As new,No,Yes,,,,,,,,4570 MARCHIN,House,Hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/scheldewindeke/9860/20310967,House,2,4,595000,,Good,No,,,18,,,,,,9860 Scheldewindeke,House,Installed
https://www.immoweb.be/en/classified/villa/for-sale/liedekerke/1770/20313885,Villa,4,4,625000,,As new,No,Yes,,,,,,,,1770 Liedekerke,Villa,Hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/sint-martens-latem/9830/20311825,House,4,3,650000,,,,Yes,,,,,,,,9830 SINT-MARTENS-LATEM,House,Installed
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/aywaille/4920/20295111,Mixed-use building,2,2,169000,,Just renovated,Yes,,,14,,,,,,4920 Aywaille,Mixed-use building,Installed
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20296303,House,2,2,209000,,To be done up,,,,,,,,,,9000 GENT,House,Semi equipped
https://www.immoweb.be/en/classified/house/for-sale/landen/3400/20295586,House,3,3,285000,,Good,No,Yes,,,,,280,,,3400 Landen,House,Not installed
https://www.immoweb.be/en/classified/house/for-sale/lochristi/9080/20296304,House,3,3,345000,,To renovate,,Yes,,,,,,,,9080 LOCHRISTI,House,Semi equipped
https://www.immoweb.be/en/classified/house/for-sale/destelbergen/9070/20294063,House,,3,349000,,To be done up,,Yes,,,,,,,,9070 DESTELBERGEN,House,Semi equipped
https://www.immoweb.be/en/classified/house/for-sale/sint-antelinks/9550/20306099,House,2,3,479000,,,,,,21,,,620,,,9550 Sint-Antelinks,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/neupre/4121/20175923,House,4,5,595000,,Good,No,,,30,,,1546,,,4121 Neupr�,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/ciply/7024/20309407,House,2,4,155000,,Good,,,,,,,,,,7024 CIPLY,House,Semi equipped
https://www.immoweb.be/en/classified/house/for-sale/putte/2580/20309001,House,,3,269000,,,,,,,,,,,,2580 Putte,House,Installed
https://www.immoweb.be/en/classified/bungalow/for-sale/zelzate/9060/20309509,Bungalow,4,3,395000,,As new,Yes,,,40,,,655,,,9060 Zelzate,Bungalow,Hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/20305883,House,,3,597750,,Good,,Yes,,,,,,,,8000 Brugge,House,
https://www.immoweb.be/en/classified/house/for-sale/koksijde/8670/20308903,House,4,5,685000,,As new,,,,,,,330,,,8670 Koksijde,House,
https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/20306567,House,,3,695000,,To renovate,,Yes,,,,,,,,8000 Brugge,House,
https://www.immoweb.be/en/classified/house/for-sale/brakel/9660/20290859,House,,3,250000,,To renovate,,,,,,,,,,9660 Brakel,House,
https://www.immoweb.be/en/classified/house/for-sale/grace-hollogne/4460/20291438,House,3,3,285000,,Good,,,,72,,,250,,,4460 GR�CE-HOLLOGNE,House,Installed
https://www.immoweb.be/en/classified/villa/for-sale/waasmunster/9250/20292090,Villa,4,4,969000,,Good,,Yes,,,,,,,,9250 WAASMUNSTER,Villa,Hyper equipped
https://www.immoweb.be/en/classified/villa/for-sale/waasmunster/9250/20292085,Villa,4,4,969000,,Good,,Yes,,,,,,,,9250 WAASMUNSTER,Villa,Hyper equipped
https://www.immoweb.be/en/classified/apartment-block/for-sale/wilrijk/2610/20291945,Apartment block,3,3,999900,,Good,,,,20,,,,,,2610 WILRIJK,Apartment block,Installed
https://www.immoweb.be/en/classified/house/for-sale/wilrijk/2610/20266581,House,2,4,299000,,To renovate,,,,,,,90,,,2610 WILRIJK,House,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/linkebeek/1630/20266156,Mixed-use building,2,9,920000,,To be done up,,,,2,,,104,,,1630 LINKEBEEK,Mixed-use building,
https://www.immoweb.be/en/classified/house/for-sale/recogne-libramont/6800/20301778,House,4,4,250000,,,No,,,,,,,,,6800 Recogne Libramont,House,
