URL,Terrace Area,Living Area,State of the building,Price,Swimming pool,Type of property,Open fire,Furnished,Terrace,Garden,Number of facades,Number of rooms,Subtype of property,Fully equipped kitchen,Locality,Garden Area,Surface of the land,Surface area of the plot of land
https://www.immoweb.be/en/classified/villa/for-sale/gavere/9890/20286444,,,As new,2100000,,Villa,,,,,4,5,Villa,,9890 Gavere,,,
https://www.immoweb.be/en/classified/house/for-sale/hotton/6990/20256651,20,,As new,294000,,House,,No,,,3,4,House,Not installed,6990 Hotton,330,,
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20275351,,,Good,569000,,House,,No,,,,3,House,Installed,9000 Gent,55,,
https://www.immoweb.be/en/classified/house/for-sale/roeselare/8800/20270318,,,Just renovated,299000,,House,,No,Yes,,,3,House,Installed,8800 Roeselare,,,
https://www.immoweb.be/en/classified/house/for-sale/gent/9052/20138913,20,,As new,399000,,House,,,,,3,3,House,Hyper equipped,9052 Gent,70,,
https://www.immoweb.be/en/classified/house/for-sale/marche-en-famenne/6900/20228969,,,As new,435000,,House,,No,Yes,,4,3,House,Installed,6900 Marche-en-Famenne,1179,,
https://www.immoweb.be/en/classified/house/for-sale/grembergen/9200/20272273,,,Good,549000,,House,,,,,,3,House,Installed,9200 Grembergen,70,,
https://www.immoweb.be/en/classified/house/for-sale/koksijde/8670/20253725,,,Good,915000,,House,,,,,4,2,House,,8670 Koksijde,,,
https://www.immoweb.be/en/classified/mansion/for-sale/beersel/1650/20230482,,,Good,945000,,Mansion,,No,Yes,,2,4,Mansion,Hyper equipped,1650 Beersel,,,
https://www.immoweb.be/en/classified/mansion/for-sale/gooik/1755/20230386,,,Good,945000,,Mansion,,No,Yes,,2,4,Mansion,Hyper equipped,1755 Gooik,,,
https://www.immoweb.be/en/classified/house/for-sale/grace-hollogne/4460/11441136,36,,Just renovated,220000,,House,,No,,,2,4,House,Hyper equipped,4460 Grâce-Hollogne,282,,
https://www.immoweb.be/en/classified/house/for-sale/oostende/8400/20294219,,,Good,359000,,House,,,,,,3,House,,8400 Oostende,,,
https://www.immoweb.be/en/classified/house/for-sale/beernem/8730/20316898,,,As new,385000,,House,,,,,1,4,House,USA installed,8730 Beernem,27,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/oostende/8400/20214343,,,Good,545000,,Apartment block,,,,,,4,Apartment block,,8400 Oostende,,,
https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20312935,,,To renovate,199000,,House,,,Yes,,4,4,House,,4100 Seraing,,,
https://www.immoweb.be/en/classified/house/for-sale/liege/4000/20313368,15,,Good,309000,,House,,,,,3,3,House,Semi equipped,,100,,
https://www.immoweb.be/en/classified/house/for-sale/heist-op-den-berg/2220/20259901,,,To be done up,399000,,House,,,,,4,5,House,Semi equipped,2220 HEIST-OP-DEN-BERG,,,
https://www.immoweb.be/en/classified/house/for-sale/lochristi/9080/20261621,,,To be done up,449000,,House,,,Yes,,,5,House,Installed,9080 Lochristi,,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/erpe-mere/9420/20311742,,,To be done up,449000,,Mixed-use building,,,Yes,,3,3,Mixed-use building,,9420 Erpe-Mere,750,,
https://www.immoweb.be/en/classified/house/for-sale/waterloo/1410/20311526,20,,Good,485000,,House,,No,,,3,4,House,,,300,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/kortrijk/8500/20313357,,,Good,485000,,Mixed-use building,,No,,,2,3,Mixed-use building,Installed,8500 Kortrijk,,,
